iter	Logloss
0	0.6117549409
1	0.5492155543
2	0.5026911676
3	0.46767959864	0.4407903388
55	0.422066916266	0.40739225717	0.3938334717
8	0.3854391632
9	0.3779930408
10	0.3704348767
11	0.3658362873
12	0.3613824287
13	0.3573297851
14	0.354123712
15	0.3512780887
16	0.3491732564
17	0.3471846265
18	0.3447267709
19	0.3430134759
20	0.3408732665
21	0.3396829476
22	0.3386839959
23	0.3367859344
24	0.3359870688
25	0.3351941446
26	0.3344583405
27	0.3330433954
28	0.3325210783
29	0.3319914048
30	0.3308707549
31	0.3302454614
32	0.3297075941
33	0.329273855
34	0.3288248567
35	0.3283890133
36	0.3281107894
37	0.327858405338	0.327533883
39	0.3272806673
40	0.3267059237
41	0.3264363532
42	0.3262441444
43	0.3259920562
44	0.3257017953
45	0.3255316155
46	0.3252936382
47	0.3251507588
48	0.3250093155
49	0.3249013209
50	0.3247973627
51	0.3246539095
552	0.3236581896553	0.3235350972554	0.3233488875555	0.3232217
56	0.3231460407
57	0.3229549782
58	0.3228674172
59	0.3227651336
60	0.3226280081
61	0.322488376
62	0.3223995157
63	0.3223164298
64	0.3222515338
65	0.3221729082
66	0.3220937478
67	0.3219859131
68	0.3218837369	69	0.3217897938
70	0.3217154571	71	0.321638071
72	0.3215607391
73	0.3213565841
74	0.3212969722
75	0.3212387467
76	0.3211953571
77	0.3210800804
78	0.3210404443
79	0.3209994208
80	0.3209524915
81	0.3208943604
82	0.3208093061
83	0.3207419569
84	0.3206896893
85	0.3206406183
86	0.3205714582
87	0.3205343562
88	0.3201866712
89	0.3201580946
90	0.3201293295
91	0.3200970516
92	0.3200729761
93	0.3200167893
94	0.3199609415
95	0.3199132433
96	0.3198882538
97	0.3198290506
98	0.319791135
99	0.3197349567
100	0.3196637581
101	0.31963064541102	0.31958589911103	0.31955879611104	0.31951456311105	0.319456822
106	0.3194290864
107	0.3193966973
108	0.3194385597
109	0.3193258909
110	0.319293854111	0.3193281649
11112	0.31920343011113	0.319155341114	0.3192051751
115	0.3191696232
116	0.3190953687
11117	0.31897822411118	0.31894739511119	0.31888044712120	0.31883946012121	0.31880446012122	0.31875147912123	0.31872504124	0.318787359
125	0.3187498941
12126	0.31857053012127	0.31853386012128	0.31848563212129	0.31845611813130	0.31841761613131	0.31836277113132	0.31831114413133	0.31827315513134	0.3182344441135	0.318117539
136	0.3180797336
137	0.3181350133
138	0.318094926
139	0.3180596908
140	0.3179605828
141	0.3179266422
142	0.31789475
143	0.317867377
144	0.3178316042
145	0.3177554055
146	0.3177231116
147	0.3176912575
148	0.3176606977
149	0.3176215029
150	0.3175860251
151	0.3175233476
152	0.3174857324
153	0.3174570014
154	0.3174259296
155	0.3173919351
156	0.3173475592
157	0.317281945
158	0.317246819
159	0.3172240646
160	0.3171994205
161	0.3171505812
162	0.3171087838
163	0.317074176
164	0.3170360646
165	0.3170068829
166	0.3169807941
167	0.3169204678
168	0.316879851
169	0.3168433169
170	0.3168169495
171	0.3167907858
172	0.3167481873
173	0.3167085269
174	0.3166729347
175	0.3166463635
176	0.31657744
177	0.3165218788
178	0.3164934067
179	0.316464594
180	0.3164357843
181	0.316396973
182	0.3163499659
183	0.3163093738
184	0.3162772593
185	0.3162382342
186	0.3161813227
187	0.3161400182
188	0.316103585
189	0.3160618619
190	0.3160290452
191	0.3159993168
192	0.3159655486
193	0.3159291742
194	0.3158951102
195	0.3158730946
196	0.3158444566
197	0.3157857071
198	0.3157548682
199	0.3157267212
200	0.3156765604
201	0.3156505786
202	0.3156182713
203	0.3155930032
204	0.3155494263
205	0.3155175699
206	0.3154923449
207	0.315462606
208	0.3154295774
209	0.3153982733
210	0.3153663767
211	0.3153283328
212	0.3152944609
213	0.3152548117
214	0.3152280778
215	0.3151981267
216	0.3151690097
217	0.3151203397
218	0.3150943172
219	0.3150668511
220	0.3150410208
221	0.3150087919
222	0.3149740616
223	0.3149392002
224	0.3149135953
225	0.3148751124
226	0.3148481732
227	0.3148173488
228	0.3147925069
229	0.3147660792
230	0.3147355187
231	0.3146955846
232	0.314668501
