iter	Passed	Remaining
0	84	84609
1	112	56354
2	149	49735
3	202	50429
4	235	46803
5	261	43367
6	286	40668
7	318	39436
8	341	37554
9	363	36016
10	408	36697
11	429	35371
12	455	34593
13	478	33699
14	493	32423
15	516	31746
16	582	33705
17	596	32546
18	622	32158
19	674	33066
20	688	32111
21	711	31611
22	766	32546
23	788	32081
24	798	31146
25	841	31533
26	886	31938
27	931	32326
28	957	32061
29	981	31741
30	1027	32117
31	1054	31909
32	1081	31679
33	1111	31585
34	1140	31441
35	1173	31436
36	1203	31330
37	1230	31138
38	1255	30936
39	1278	30690
40	1297	30340
41	1340	30585
42	1361	30292
43	1383	30055444	1401	29752445	1429	29652446	1468	29775447	1493	29614448	1515	29412449	1577	29967550	1624	30226
51	1650	30086
52	1693	30258
53	1721	30164
54	1812	31139
55	1836	30952
56	1857	30737
57	1888	30664
58	1923	30670
59	2004	31399
60	2021	31123
61	2063	31221
62	2089	31080
63	2113	30904
64	2159	31060
65	2182	30886
66	2214	30839
67	2243	30748
68	2260	30500
69	2280	30300
70	2354	30803
71	2395	30877
72	2413	30652
73	2436	30488
74	2497	30802
75	2539	30876
76	2598	31143
77	2638	31190
78	2660	31011
79	2685	30885
80	2721	30875
81	2772	31042
82	2816	31122
83	2834	30907
84	2884	31054
85	2929	31130
86	2992	31398
87	3015	31253
88	3036	31083
89	3114	31491
90	3130	31273
91	3154	31135
92	3177	30987
93	3212	30959
94	3234	30816
95	3260	30707
96	3281	30549
97	3298	30359
98	3351	30500
99	3371	30347
100	3403	30294
101	3457	30438
102	3475	30266
103	3489	30059
104	3509	29911
105	3531	29783
106	3570	29798
107	3611	29824
108	3645	29799
109	3669	29686
110	3716	29767
111	3762	29829
112	3787	29726
113	3810	29618
114	3840	29553
115	3857	29397
116	3908	29496
117	3927	29353
118	3969	29390
119	4035	29593
120	4075	29607
121	4098	29497
122	4128	29433
123	4184	29562
124	4219	29533
125	4243	29436
126	4279	29417
127	4317	29412
128	4347	29357
129	4388	29368
130	4415	29287
131	4445	29233
132	4493	29289
133	4514	29175
134	4533	29049
135	4551	28914
136	4573	28809
137	4616	28838
138	4658	28857
139	4690	28810
140	4728	28809
141	4748	28694
142	4764	28555
143	4805	28564
144	4847	28581
145	4897	28645
146	4935	28642
147	4978	28658
148	4998	28547
149	5028	28493
150	5079	28561
151	5093	28417
152	5127	28384
153	5158	28340
154	5178	28232
155	5221	28248
156	5241	28142
157	5256	28010
158	5311	28092
159	5354	28109
160	5388	28079
161	5433	28108
162	5463	28057
163	5505	28062
164	5526	27967
165	5568	27976
166	5608	27974
167	5628	27875
168	5645	27760
169	5692	27791
170	5720	27730
171	5809	27964
172	5843	27932
173	5864	27840
174	5891	27773
175	5931	27771
176	5955	27689
177	5981	27620
178	6015	27591
179	6042	27527
180	6067	27454
181	6103	27433
182	6136	27394
183	6171	27371
184	6205	27339
185	6249	27351
186	6281	27309
187	6313	27267
188	6355	27270
189	6371	27162
190	6392	27076
191	6418	27011
192	6443	26944
193	6474	26899
194	6507	26863
195	6534	26803
196	6567	26768
197	6595	26715
198	6620	26650
199	6658	26634
200	6682	26563
201	6734	26603
202	6770	26582
203	6789	26493
204	6843	26541
205	6925	26694
206	6967	26690
207	6990	26618
208	7018	26562
